13/12/2024	C	BRBI1	16	14,27
09/12/2024	C	BBAS3	10	24,54
06/12/2024	C	BBAS3	81	24,74
05/12/2024	C	BRBI11	100	14,52
03/12/2024	C	BBAS3	100	24,86
29/11/2024	C	BBAS3	37	24,59
29/11/2024	C	BRBI1	67	14,96
28/11/2024	C	BBAS3	40	24,81
28/11/2024	V	BBFO11	66	63,4
28/11/2024	C	BBSE3	60	33,54
28/11/2024	C	BBSE3	21	33,7
28/11/2024	C	BRBI11	200	14,99
28/11/2024	C	BRBI11	100	14,94
26/11/2024	C	BBAS3	11	25,36
25/11/2024	C	BBSE3	50	33,83
25/11/2024	V	XPML11	17	103,68
18/11/2024	C	BBAS3	12	25,72
14/11/2024	C	BBAS3	40	24,95
12/11/2024	C	BBAS3	80	25,97
12/11/2024	C	BBSE3	30	33,77
12/11/2024	C	BBSE3	30	33,95
12/11/2024	C	PETR4	30	36,74
11/11/2024	V	GARE11	661	9
07/11/2024	C	BBAS3	36	26,17
05/11/2024	V	BBFO11	10	64,19
05/11/2024	V	BBFO11	1	64,2
05/11/2024	V	BBFO11	31	64,54
05/11/2024	C	RZAT11	6	91,52
05/11/2024	C	RZAT11	7	91,53
05/11/2024	C	XPML11	5	103,39
04/11/2024	C	BBAS3	57	26,34
01/11/2024	C	PETR4	14	35,51
31/10/2024	C	BBAS3	38	26,28
30/10/2024	C	PETR4	26	35,97
29/10/2024	V	AFHI11	24	92,99
29/10/2024	V	AFHI11	26	93
29/10/2024	C	BBAS3	100	26,36
29/10/2024	C	BBAS3	42	26,36
29/10/2024	C	PETR4	28	35,92
25/10/2024	C	PETR4	28	36,3
17/10/2024	C	PETR4	55	36,77
14/10/2024	C	BBAS3	10	26,43
10/10/2024	V	AFHI11	21	95,32
10/10/2024	C	BBAS3	25	26,31
09/10/2024	V	AFHI11	6	95,83
09/10/2024	V	AFHI11	1	95,82
09/10/2024	C	BBAS3	76	26,52
07/10/2024	V	AFHI11	29	96
07/10/2024	C	BBAS3	100	26,99
07/10/2024	C	BBAS3	8	27,1
03/10/2024	C	BBAS3	36	26,93
03/10/2024	C	BBAS3	37	26,84
03/10/2024	C	BBAS3	38	26,77
01/10/2024	C	BBAS3	74	27,14
27/09/2024	C	PETR4	11	36,31
25/09/2024	C	BBAS3	15	27,48
24/09/2024	C	BBAS3	42	27,52
23/09/2024	C	BBAS3	73	27,47
23/09/2024	C	BBAS3	50	27,43
23/09/2024	V	TRBL11	53	90,89
23/09/2024	V	TRBL11	8	90,9
23/09/2024	C	TRXF11	10	105,24
19/09/2024	C	BBAS3	5	28,16
18/09/2024	C	BBAS3	52	28,42
18/09/2024	V	HSML11	20	92,5
18/09/2024	C	RECV3	98	18,85
17/09/2024	C	BBAS3	35	28,36
17/09/2024	C	PETR4	14	36,76
13/09/2024	C	BBAS3	13	28,58
